invoiceID,clientID,businessName,service,amountUSD,taxRate,discountPercent,status,dateUpdated,timeUpdated,taxAmount,discountAmount,finalTotal
41ad2ced-acf1-430b-b4da-2e49c2400497,1,Unknown Business,Design,937,8.0,0,Paid,1989-01-20,21:30:06,74.96,0.0,1011.96
9a1d006d-5489-4b3d-bdfc-e4cff5429c7c,1,Unknown Business,Development,365,8.0,10,Paid,2009-01-08,10:34:16,29.2,36.5,357.7
f77cc0bd-e576-4aca-8311-b1eb8e1659ce,2,Lara Ltd,Consulting,262,8.0,0,Paid,2024-09-14,04:44:42,20.96,0.0,282.96
160019a1-f5c1-48f2-b947-5bbc9132ee33,2,Lara Ltd,Consulting,930,8.0,0,Paid,1972-05-20,23:37:34,74.4,0.0,1004.4
9844f3e5-e435-4825-b071-a8e1d5b94c01,3,Young-Anderson,Consulting,332,8.0,15,Pending,2017-04-18,13:52:32,26.56,49.8,308.76
a8303fe4-beda-4551-a56f-a275fedd4439,3,Young-Anderson,Consulting,765,8.0,15,Paid,1993-12-23,09:44:51,61.2,114.75,711.45
6f0dabda-3950-4662-93c0-36e4fe20a51d,3,Young-Anderson,Design,698,8.0,10,Pending,1993-03-28,23:07:47,55.84,69.8,684.04
7edbf9af-50a0-407d-afa7-819157a01e7a,3,Young-Anderson,Design,439,8.0,0,Overdue,1976-12-09,15:56:56,35.12,0.0,474.12
72625afb-9f95-4200-881f-59810c26b8ef,4,Morgan PLC,Consulting,674,8.0,10,Paid,2020-07-29,23:25:18,53.92,67.4,660.52
2f67d2c3-d8e4-4a93-8c1c-7afc1299d359,4,Morgan PLC,Design,387,8.0,10,Pending,1972-05-14,18:43:09,30.96,38.7,379.26
47b08939-3c2c-4629-86df-8751d3672442,4,Morgan PLC,Consulting,609,8.0,10,Pending,1974-12-14,09:33:15,48.72,60.9,596.82
ec61bf94-c8bc-40eb-a6b3-5217078372b9,4,Morgan PLC,Design,112,8.0,0,Paid,2023-02-22,13:15:55,8.96,0.0,120.96
05634045-0e4b-410a-9a71-5a97b1270d5c,5,Thomas-Cook,Consulting,358,8.0,10,Pending,1980-11-03,02:48:28,28.64,35.8,350.84
d5d89fa3-5d8b-4978-8584-74b5c8584b55,5,Thomas-Cook,Development,645,8.0,10,Pending,1995-03-22,13:23:01,51.6,64.5,632.1
8c817c2e-cb8b-4b0f-ab4d-a15a4dccf00d,6,"Evans, Roberts and Mckenzie",Development,877,8.0,10,Overdue,2001-02-22,09:48:24,70.16,87.7,859.46
311a36c8-ba14-4dda-af6e-cddffc0c01ec,6,"Evans, Roberts and Mckenzie",Development,133,8.0,0,Overdue,2013-05-11,16:09:14,10.64,0.0,143.64
a831a1ee-0584-45b8-912a-b506c85420c6,6,"Evans, Roberts and Mckenzie",Consulting,361,8.0,10,Pending,1991-09-14,23:56:16,28.88,36.1,353.78
3fc12f78-bdda-46a4-a8d0-1c8a4acece7f,6,"Evans, Roberts and Mckenzie",Design,333,8.0,15,Paid,1987-11-20,20:23:37,26.64,49.95,309.69
63b8bfa4-3294-4cee-be23-d7aca8456273,6,"Evans, Roberts and Mckenzie",Development,829,8.0,5,Overdue,1998-01-20,07:42:29,66.32,41.45,853.87
bdc8d65f-895b-4f07-8d07-99ba8ee3277a,7,Stone-Johnson,Consulting,328,8.25,10,Pending,1984-06-17,18:18:40,27.06,32.8,322.26
045fdedb-8e0e-4317-b689-542bf7328cdb,7,Stone-Johnson,Development,666,8.25,10,Overdue,2023-08-17,22:04:16,54.94,66.6,654.34
b0cf3596-fac7-460a-a5d8-d326fb185f4d,7,Stone-Johnson,Consulting,621,8.25,0,Pending,1999-11-03,22:22:12,51.23,0.0,672.23
574406e3-d621-47db-8477-a3458a132acd,8,"Jordan, Carrillo and Lewis",Design,641,8.0,0,Pending,1991-07-22,06:36:54,51.28,0.0,692.28
